nombre,descripcion,calorias,porcion
manzana,fruta rica en vitaminas B1 y B6 que evitan el agotamiento mental y refuerzan la memoria,100,1
naranja,fruta rica en vitamina C y minerales como potasio y calcio que ayudan a regular la presión arterial,62,2
fresa,fruta rica en fibra y antioxidantes que ayuda a mantener un intestino saludable y mejorar la digestión,49,12
plátano Tabasco,fruta rica en potasio que ayuda a regular la presión arterial y mejorar la función muscular,105,1
limón,fruta rica en vitamina C que ayuda a fortalecer el sistema inmunológico y prevenir enfermedades respiratorias,22,1
piña,fruta rica en vitamina C y bromelina que ayuda a mejorar la digestión y reducir la inflamación,82,1
toronja,fruta rica en vitamina C y antioxidantes que ayuda a fortalecer el sistema inmunológico y prevenir enfermedades cardiovasculares,52,1
sandía,fruta rica en agua y antioxidantes que ayuda a hidratar el cuerpo y prevenir el daño celular causado por los radicales libres,30,1
papaya,fruta rica en vitamina C y papaína que ayuda a mejorar la digestión y fortalecer el sistema inmunológico,43,1
mango,fruta rica en vitamina A y antioxidantes que ayuda a mejorar la salud de la piel y prevenir enfermedades oculares degenerativas como las cataratas o la degeneración macular relacionada con la edad (DMRE),60,1
